id,name,artist,dance,energy,loud,mode,speech,acoustic,instrument,live,valence,tempo
1n7JnwviZ7zf0LR1tcGFq7 ,Se Eu Quiser Falar Com Deus                                                                                                                                                      ,Gilberto Gil                                    ,0.658,0.259,-13.141,0,0.0705,0.694,5.87e-05,0.975,0.306,110.376
5QGM1U0eCYrQuwSJwTm5Zq ,Saudade De Bahia                                                                                                                                                                 ,Antônio Carlos Jobim                            ,0.742,0.399,-12.646,1,0.0346,0.217,1.88e-06,0.107,0.693,125.039
0NLIFSZxPzQhCwnkn5PJYs ,"Canta Canta, Minha Gente                                                                                                                                                       ",Martinho Da Vila                                ,0.851,0.73,-11.048,1,0.347,0.453,6.34e-05,0.124,0.905,93.698
3mXqOdlLE1k67WsAxryPFs ,Mulher Eu Sei                                                                                                                                                                    ,Chico César                                     ,0.705,0.0502,-18.115,1,0.0471,0.879,4.05e-05,0.386,0.524,106.802
7bSzjzjTkWT2CkIPPdp0eA ,Rosa Morena                                                                                                                                                                      ,Kurt Elling                                     ,0.651,0.119,-19.807,1,0.038,0.916,0.000343,0.104,0.402,120.941
5pstSsK0G4q86gdyy1Spqh ,Desafinado                                                                                                                                                                       ,Stan Getz                                       ,0.466,0.146,-17.5,1,0.0649,0.931,0.154,0.107,0.423,142.885
33u3dO0JWjerYpFN61J3ug ,Madalena                                                                                                                                                                         ,Maria Gasolina                                  ,0.675,0.207,-13.82,0,0.0545,0.963,0.414,0.112,0.684,93.531
0ylJQpV3K4XnhWhLDMFmH7 ,O Meu Amor É Glòria                                                                                                                                                              ,Sílvia Pérez Cruz                               ,0.504,0.733,-10.72,1,0.389,0.696,5.61e-05,0.673,0.886,96.565
1wL2dk42Cxu4zCJs4SvFsZ ,Brigas Nunca Mais                                                                                                                                                                ,Paula Morelenbaum                               ,0.694,0.546,-11.452,1,0.04,0.398,0.076,0.153,0.641,170.032
5iKuMCDh634YGrg2HrhtHp ,Previsao                                                                                                                                                                         ,Bossacucanova                                   ,0.674,0.864,-7.971,1,0.0382,0.641,0.358,0.139,0.536,99.995
4xGFcQEIjtmbPD6Jsxq14M ,The Girl From Ipanema                                                                                                                                                            ,Stan Getz                                       ,0.641,0.14,-16.79,1,0.039,0.867,0.00166,0.105,0.388,129.318
26g2HsIOznFYeJWR9zhRXZ ,Blue Bossa - Remastered                                                                                                                                                          ,Joe Henderson                                   ,0.48,0.433,-9.909,0,0.0532,0.608,0.694,0.108,0.897,82.315
1OzHkIzGMj4S3rWwF8TBjc ,Aqua De Coco                                                                                                                                                                     ,Marcos Valle                                    ,0.755,0.732,-9.6,0,0.0658,0.487,0.00091,0.454,0.816,88.028
3gDzuF3Dy0K4RQszBFAYCv ,Samba de Verão                                                                                                                                                                   ,Marcos Valle                                    ,0.697,0.405,-14.587,1,0.0317,0.813,0.000157,0.328,0.845,114.833
51P5Djwsur61UY4oitktOQ ,Mas Que Nada                                                                                                                                                                     ,Rio Combo                                       ,0.618,0.539,-12.689,0,0.0312,0.156,0.00214,0.187,0.916,88.646
2RPHy1PlxehscIM1K1wQMy ,Nova Bossa Nova                                                                                                                                                                  ,Marcos Valle                                    ,0.598,0.739,-10.602,1,0.0452,0.523,0.725,0.146,0.881,95.018
52mwxbVQOtYXntgvyXyBc4 ,Não Sei                                                                                                                                                                          ,Sílvia Pérez Cruz                               ,0.382,0.0866,-14.067,0,0.0396,0.978,0.00197,0.234,0.157,111.042
60FNhq77JIoQsUKwf0wf5m ,A Força Que Nunca Seca (feat. Maria Bethânia)                                                                                                                                    ,Chico César                                     ,0.563,0.112,-11.336,1,0.0415,0.89,0.0,0.333,0.312,108.372
3ftxaxht5yQW99vNcibmUC ,Aquarela Do Brasil                                                                                                                                                               ,Carlos Barbosa-Lima                             ,0.423,0.252,-19.264,0,0.0467,0.963,0.901,0.105,0.438,81.025
5gvBgfXusUpxjOWHyYJXVg ,Brigas Nunca Mais                                                                                                                                                                ,Brazilian Jazz                                  ,0.529,0.276,-14.859,1,0.0457,0.972,0.885,0.133,0.28,96.134
4P9HLmNcE6dUUvsPUvl3gs ,Águas De Março                                                                                                                                                                   ,Antônio Carlos Jobim                            ,0.639,0.552,-9.285,1,0.127,0.832,0.0,0.122,0.474,143.241
3pjbCjL1IlqOfuQ8YOkX6o ,Aquarela Do Brasil                                                                                                                                                               ,Voyager                                         ,0.449,0.145,-19.732,1,0.0484,0.937,0.919,0.0769,0.304,91.33
65GsUbgQju5Mh0Ab7CRUWB ,Chega De Saudade                                                                                                                                                                 ,João Gilberto                                   ,0.426,0.245,-15.983,0,0.0337,0.735,0.0,0.189,0.686,175.898
014sDbzN0MSugmC703Ic4h ,Don't Stop the Carnival                                                                                                                                                          ,Sonny Rollins                                   ,0.481,0.525,-11.228,1,0.059,0.568,0.0,0.675,0.817,104.664
2rIzPAaLY6ocCanj5H7edQ ,Rebel Rebel                                                                                                                                                                      ,Seu Jorge                                       ,0.775,0.206,-15.659,0,0.053,0.879,0.000313,0.14,0.553,120.46
37H0kOistSqxRH8rObQeIe ,Rosa Morena - Live At Carnegie Hall/1964                                                                                                                                         ,Stan Getz                                       ,0.529,0.134,-26.821,1,0.0869,0.906,0.121,0.694,0.474,133.614
7BlLxHwobm2gHjXev9dNVe ,Karoliina Kaunis                                                                                                                                                                 ,Maria Gasolina                                  ,0.753,0.215,-15.671,0,0.293,0.618,0.00464,0.0912,0.382,130.338
